DDR,
0,0.00,
10,0.00,
20,0.00,
30,0.00,
40,0.18,
50,0.28,
60,0.33,
70,0.37,
80,0.40,
90,0.45,
100,0.50,
110,0.56,
120,0.61,
130,0.65,
140,0.69,
150,0.71,
160,0.74,
170,0.76,
180,0.78,
190,0.79,
200,0.80,
210,0.82,
220,0.83,
230,0.84,
240,0.84,
250,0.85,
260,0.86,
270,0.87,
280,0.87,
290,0.88,
300,0.88,
310,0.89,
320,0.89,
330,0.90,
340,0.90,
350,0.90,
360,0.91,
370,0.91,
380,0.91,
390,0.92,
400,0.92,
410,0.92,
420,0.93,
430,0.93,
440,0.93,
450,0.93,
460,0.94,
470,0.94,
480,0.94,
490,0.94,
500,0.95,
510,0.95,
520,0.95,
530,0.95,
540,0.96,
550,0.96,
560,0.96,
570,0.96,
580,0.96,
590,0.97,
600,0.97,
610,0.97,
620,0.97,
630,0.97,
640,0.97,
650,0.98,
660,0.98,
670,0.98,
680,0.98,
690,0.98,
700,0.98,
710,0.98,
720,0.98,
730,0.98,
740,0.98,
750,0.99,
760,0.99,
770,0.99,
780,0.99,
790,0.99,
800,0.99,
810,0.99,
820,0.99,
830,0.99,
840,0.99,
850,0.99,
860,0.99,
870,0.99,
880,0.99,
890,0.99,
900,0.99,
910,0.99,
920,0.99,
930,0.99,
940,1.00,
950,1.00,
960,1.00,
970,1.00,
980,1.00,
990,1.00,
CXL,
0,0.00,
10,0.00,
20,0.00,
30,0.00,
40,0.00,
50,0.00,
60,0.00,
70,0.60,
80,0.73,
90,0.78,
100,0.80,
110,0.81,
120,0.85,
130,0.88,
140,0.91,
150,0.92,
160,0.92,
170,0.93,
180,0.93,
190,0.93,
200,0.94,
210,0.94,
220,0.94,
230,0.94,
240,0.94,
250,0.95,
260,0.95,
270,0.95,
280,0.95,
290,0.96,
300,0.96,
310,0.96,
320,0.96,
330,0.97,
340,0.97,
350,0.97,
360,0.97,
370,0.98,
380,0.98,
390,0.98,
400,0.99,
410,0.99,
420,0.99,
430,0.99,
440,0.99,
450,0.99,
460,1.00,
470,1.00,
480,1.00,
490,1.00,
500,1.00,
510,1.00,
520,1.00,
530,1.00,
540,1.00,
550,1.00,
560,1.00,
570,1.00,
580,1.00,
590,1.00,
600,1.00,
610,1.00,
620,1.00,
630,1.00,
640,1.00,
650,1.00,
660,1.00,
670,1.00,
680,1.00,
690,1.00,
700,1.00,
710,1.00,
720,1.00,
730,1.00,
740,1.00,
750,1.00,
760,1.00,
770,1.00,
780,1.00,
790,1.00,
800,1.00,
810,1.00,
820,1.00,
830,1.00,
840,1.00,
850,1.00,
860,1.00,
870,1.00,
880,1.00,
890,1.00,
900,1.00,
910,1.00,
920,1.00,
930,1.00,
940,1.00,
950,1.00,
960,1.00,
970,1.00,
980,1.00,
990,1.00,
