DDR,
0,0.00,
10,0.00,
20,0.00,
30,0.00,
40,0.33,
50,0.52,
60,0.63,
70,0.71,
80,0.77,
90,0.81,
100,0.84,
110,0.86,
120,0.88,
130,0.89,
140,0.90,
150,0.91,
160,0.92,
170,0.92,
180,0.93,
190,0.93,
200,0.93,
210,0.93,
220,0.94,
230,0.94,
240,0.94,
250,0.94,
260,0.95,
270,0.95,
280,0.95,
290,0.95,
300,0.95,
310,0.96,
320,0.96,
330,0.96,
340,0.96,
350,0.96,
360,0.97,
370,0.97,
380,0.97,
390,0.97,
400,0.97,
410,0.98,
420,0.98,
430,0.98,
440,0.98,
450,0.98,
460,0.98,
470,0.99,
480,0.99,
490,0.99,
500,0.99,
510,0.99,
520,0.99,
530,0.99,
540,0.99,
550,0.99,
560,0.99,
570,0.99,
580,0.99,
590,0.99,
600,0.99,
610,1.00,
620,1.00,
630,1.00,
640,1.00,
650,1.00,
660,1.00,
670,1.00,
680,1.00,
690,1.00,
700,1.00,
710,1.00,
720,1.00,
730,1.00,
740,1.00,
750,1.00,
760,1.00,
770,1.00,
780,1.00,
790,1.00,
800,1.00,
810,1.00,
820,1.00,
830,1.00,
840,1.00,
850,1.00,
860,1.00,
870,1.00,
880,1.00,
890,1.00,
900,1.00,
910,1.00,
920,1.00,
930,1.00,
940,1.00,
950,1.00,
960,1.00,
970,1.00,
980,1.00,
990,1.00,
CXL,
0,0.00,
10,0.00,
20,0.00,
30,0.00,
40,0.00,
50,0.00,
60,0.00,
70,0.87,
80,0.92,
90,0.94,
100,0.94,
110,0.95,
120,0.96,
130,0.96,
140,0.96,
150,0.96,
160,0.96,
170,0.96,
180,0.96,
190,0.96,
200,0.96,
210,0.96,
220,0.96,
230,0.96,
240,0.96,
250,0.96,
260,0.97,
270,0.97,
280,0.97,
290,0.97,
300,0.97,
310,0.98,
320,0.98,
330,0.98,
340,0.99,
350,0.99,
360,0.99,
370,0.99,
380,1.00,
390,1.00,
400,1.00,
410,1.00,
420,1.00,
430,1.00,
440,1.00,
450,1.00,
460,1.00,
470,1.00,
480,1.00,
490,1.00,
500,1.00,
510,1.00,
520,1.00,
530,1.00,
540,1.00,
550,1.00,
560,1.00,
570,1.00,
580,1.00,
590,1.00,
600,1.00,
610,1.00,
620,1.00,
630,1.00,
640,1.00,
650,1.00,
660,1.00,
670,1.00,
680,1.00,
690,1.00,
700,1.00,
710,1.00,
720,1.00,
730,1.00,
740,1.00,
750,1.00,
760,1.00,
770,1.00,
780,1.00,
790,1.00,
800,1.00,
810,1.00,
820,1.00,
830,1.00,
840,1.00,
850,1.00,
860,1.00,
870,1.00,
880,1.00,
890,1.00,
900,1.00,
910,1.00,
920,1.00,
930,1.00,
940,1.00,
950,1.00,
960,1.00,
970,1.00,
980,1.00,
990,1.00,
