DDR,
0,0.00,
10,0.00,
20,0.00,
30,0.00,
40,0.29,
50,0.44,
60,0.52,
70,0.57,
80,0.60,
90,0.64,
100,0.67,
110,0.72,
120,0.74,
130,0.77,
140,0.79,
150,0.81,
160,0.82,
170,0.84,
180,0.85,
190,0.86,
200,0.87,
210,0.88,
220,0.88,
230,0.89,
240,0.90,
250,0.90,
260,0.91,
270,0.91,
280,0.92,
290,0.92,
300,0.92,
310,0.93,
320,0.93,
330,0.93,
340,0.94,
350,0.94,
360,0.94,
370,0.94,
380,0.95,
390,0.95,
400,0.95,
410,0.96,
420,0.96,
430,0.96,
440,0.96,
450,0.96,
460,0.97,
470,0.97,
480,0.97,
490,0.97,
500,0.97,
510,0.98,
520,0.98,
530,0.98,
540,0.98,
550,0.98,
560,0.98,
570,0.98,
580,0.98,
590,0.99,
600,0.99,
610,0.99,
620,0.99,
630,0.99,
640,0.99,
650,0.99,
660,0.99,
670,0.99,
680,0.99,
690,0.99,
700,0.99,
710,0.99,
720,0.99,
730,0.99,
740,0.99,
750,0.99,
760,1.00,
770,1.00,
780,1.00,
790,1.00,
800,1.00,
810,1.00,
820,1.00,
830,1.00,
840,1.00,
850,1.00,
860,1.00,
870,1.00,
880,1.00,
890,1.00,
900,1.00,
910,1.00,
920,1.00,
930,1.00,
940,1.00,
950,1.00,
960,1.00,
970,1.00,
980,1.00,
990,1.00,
CXL,
0,0.00,
10,0.00,
20,0.00,
30,0.00,
40,0.00,
50,0.00,
60,0.00,
70,0.67,
80,0.79,
90,0.84,
100,0.86,
110,0.87,
120,0.90,
130,0.91,
140,0.93,
150,0.94,
160,0.94,
170,0.94,
180,0.94,
190,0.95,
200,0.95,
210,0.95,
220,0.95,
230,0.95,
240,0.95,
250,0.95,
260,0.95,
270,0.96,
280,0.96,
290,0.96,
300,0.96,
310,0.96,
320,0.97,
330,0.97,
340,0.97,
350,0.98,
360,0.98,
370,0.98,
380,0.98,
390,0.99,
400,0.99,
410,0.99,
420,0.99,
430,0.99,
440,1.00,
450,1.00,
460,1.00,
470,1.00,
480,1.00,
490,1.00,
500,1.00,
510,1.00,
520,1.00,
530,1.00,
540,1.00,
550,1.00,
560,1.00,
570,1.00,
580,1.00,
590,1.00,
600,1.00,
610,1.00,
620,1.00,
630,1.00,
640,1.00,
650,1.00,
660,1.00,
670,1.00,
680,1.00,
690,1.00,
700,1.00,
710,1.00,
720,1.00,
730,1.00,
740,1.00,
750,1.00,
760,1.00,
770,1.00,
780,1.00,
790,1.00,
800,1.00,
810,1.00,
820,1.00,
830,1.00,
840,1.00,
850,1.00,
860,1.00,
870,1.00,
880,1.00,
890,1.00,
900,1.00,
910,1.00,
920,1.00,
930,1.00,
940,1.00,
950,1.00,
960,1.00,
970,1.00,
980,1.00,
990,1.00,
