DDR,
0,0.00,
10,0.00,
20,0.00,
30,0.00,
40,0.38,
50,0.54,
60,0.62,
70,0.66,
80,0.69,
90,0.72,
100,0.74,
110,0.78,
120,0.80,
130,0.82,
140,0.84,
150,0.86,
160,0.87,
170,0.88,
180,0.89,
190,0.89,
200,0.90,
210,0.91,
220,0.91,
230,0.92,
240,0.92,
250,0.92,
260,0.93,
270,0.93,
280,0.93,
290,0.94,
300,0.94,
310,0.94,
320,0.95,
330,0.95,
340,0.95,
350,0.95,
360,0.96,
370,0.96,
380,0.96,
390,0.97,
400,0.97,
410,0.97,
420,0.97,
430,0.97,
440,0.98,
450,0.98,
460,0.98,
470,0.98,
480,0.98,
490,0.98,
500,0.98,
510,0.99,
520,0.99,
530,0.99,
540,0.99,
550,0.99,
560,0.99,
570,0.99,
580,0.99,
590,0.99,
600,0.99,
610,0.99,
620,0.99,
630,0.99,
640,0.99,
650,0.99,
660,0.99,
670,1.00,
680,1.00,
690,1.00,
700,1.00,
710,1.00,
720,1.00,
730,1.00,
740,1.00,
750,1.00,
760,1.00,
770,1.00,
780,1.00,
790,1.00,
800,1.00,
810,1.00,
820,1.00,
830,1.00,
840,1.00,
850,1.00,
860,1.00,
870,1.00,
880,1.00,
890,1.00,
900,1.00,
910,1.00,
920,1.00,
930,1.00,
940,1.00,
950,1.00,
960,1.00,
970,1.00,
980,1.00,
990,1.00,
CXL,
0,0.00,
10,0.00,
20,0.00,
30,0.00,
40,0.00,
50,0.00,
60,0.00,
70,0.78,
80,0.86,
90,0.89,
100,0.90,
110,0.90,
120,0.91,
130,0.93,
140,0.94,
150,0.94,
160,0.94,
170,0.95,
180,0.95,
190,0.95,
200,0.95,
210,0.95,
220,0.95,
230,0.96,
240,0.96,
250,0.96,
260,0.96,
270,0.96,
280,0.97,
290,0.97,
300,0.97,
310,0.97,
320,0.98,
330,0.98,
340,0.98,
350,0.99,
360,0.99,
370,0.99,
380,0.99,
390,0.99,
400,1.00,
410,1.00,
420,1.00,
430,1.00,
440,1.00,
450,1.00,
460,1.00,
470,1.00,
480,1.00,
490,1.00,
500,1.00,
510,1.00,
520,1.00,
530,1.00,
540,1.00,
550,1.00,
560,1.00,
570,1.00,
580,1.00,
590,1.00,
600,1.00,
610,1.00,
620,1.00,
630,1.00,
640,1.00,
650,1.00,
660,1.00,
670,1.00,
680,1.00,
690,1.00,
700,1.00,
710,1.00,
720,1.00,
730,1.00,
740,1.00,
750,1.00,
760,1.00,
770,1.00,
780,1.00,
790,1.00,
800,1.00,
810,1.00,
820,1.00,
830,1.00,
840,1.00,
850,1.00,
860,1.00,
870,1.00,
880,1.00,
890,1.00,
900,1.00,
910,1.00,
920,1.00,
930,1.00,
940,1.00,
950,1.00,
960,1.00,
970,1.00,
980,1.00,
990,1.00,
